5.318,0.4,56.2,
3.397,2.2,44.3,
4.478,-2.5,48.3,
5.42,-1.1,51.3,
5.579,-2.4,55.5,
5.788,-1.8,44.1,
4.788,-2.5,55,
9.71,52.9,-16.9,
0.872,39.3,-3.7,
0.896,37.8,-5.3,
0.567,40.9,-8.2,
1.399,,,29
2.306,,,23.2
1.566,,,28.7
6.735,,,16.9
7.736,,,27
